"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","tap_times"
"9530","<p style=""font-size:30px;"">Hi!</p><br><p>In this experiment, you will hear sounds with different speeds. </p><p>Your task is to listen to the pair of sounds, and then tap on the T key</p><p>with a speed that you think is the midway between these two speeds.<br><br><br></p>","0","html-button-response","0","9535","0.0-0.0","",""
"null","700_ms.wav","","audio-keyboard-response","1","15097","0.0-1.0-0.0","null",""
"null","600_ms.wav","","audio-keyboard-response","2","20808","0.0-1.0-1.0","null",""
"","silence.wav","","audio-keyboard-taps","3","37415","0.0-1.0-2.0","null","3013,3552,4112,4744,5328,5912,6512,7136,7744,8392,8976,9600,10232,10808,11440,12056,12680,13280,13872,14464,15104"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","4","38718","0.0-1.0-3.0","null",""
"null","500_ms.wav","","audio-keyboard-response","5","42728","0.0-1.0-0.1","null",""
"null","700_ms.wav","","audio-keyboard-response","6","49141","0.0-1.0-1.1","null",""
"","silence.wav","","audio-keyboard-taps","7","68608","0.0-1.0-2.1","null","6637,7269,7965,8597,9157,9677,10213,10781,11349,11883,12429,12981,13525,14077,14677,15221,15765,16325,16875,17405,17965"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","8","69911","0.0-1.0-3.1","null",""
"null","400_ms.wav","","audio-keyboard-response","9","73221","0.0-1.0-0.2","null",""
"null","600_ms.wav","","audio-keyboard-response","10","78933","0.0-1.0-1.2","null",""
"","silence.wav","","audio-keyboard-taps","11","91993","0.0-1.0-2.2","null","1821,2325,2749,3229,3717,4221,4701,5181,5653,6165,6677,7165,7645,8117,8597,9101,9589,10069,10589,11077,11557"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","12","93296","0.0-1.0-3.2","null",""
"null","400_ms.wav","","audio-keyboard-response","13","96607","0.0-1.0-0.3","null",""
"null","500_ms.wav","","audio-keyboard-response","14","101620","0.0-1.0-1.3","null",""
"","silence.wav","","audio-keyboard-taps","15","115039","0.0-1.0-2.3","null","1797,2261,2757,3261,3765,4269,4773,5285,5789,6301,6837,7333,7853,8365,8869,9397,9909,10397,10933,11421,11917"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","16","116340","0.0-1.0-3.3","null",""
"null","500_ms.wav","","audio-keyboard-response","17","120352","0.0-1.0-0.4","null",""
"null","600_ms.wav","","audio-keyboard-response","18","126063","0.0-1.0-1.4","null",""
"","silence.wav","","audio-keyboard-taps","19","140239","0.0-1.0-2.4","null","2192,2736,3216,3744,4251,4792,5344,5880,6416,6944,7480,8027,8555,9067,9576,10099,10603,11123,11664,12171,12675"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","20","141541","0.0-1.0-3.4","null",""
"null","400_ms.wav","","audio-keyboard-response","21","144852","0.0-1.0-0.5","null",""
"null","800_ms.wav","","audio-keyboard-response","22","151964","0.0-1.0-1.5","null",""
"","silence.wav","","audio-keyboard-taps","23","166072","0.0-1.0-2.5","null","1117,1693,2333,2941,3525,4069,4669,5229,5805,6349,6917,7477,8037,8589,9197,9757,10325,10901,11469,12029,12605"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","24","167374","0.0-1.0-3.5","null",""
"null","800_ms.wav","","audio-keyboard-response","25","173484","0.0-1.0-0.6","null",""
"null","500_ms.wav","","audio-keyboard-response","26","178497","0.0-1.0-1.6","null",""
"","silence.wav","","audio-keyboard-taps","27","192728","0.0-1.0-2.6","null","1227,1811,2483,3075,3659,4267,4867,5467,6011,6579,7139,7699,8275,8811,9363,9891,10475,11019,11603,12171,12731"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","28","194031","0.0-1.0-3.6","null",""
"null","500_ms.wav","","audio-keyboard-response","29","198044","0.0-1.0-0.7","null",""
"null","800_ms.wav","","audio-keyboard-response","30","205156","0.0-1.0-1.7","null",""
"","silence.wav","","audio-keyboard-taps","31","218673","0.0-1.0-2.7","null","904,1501,2013,2509,3053,3573,4149,4701,5301,5805,6373,6909,7461,8309,8741,9301,9821,10365,10925,11485,12016"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","32","219975","0.0-1.0-3.7","null",""
"null","400_ms.wav","","audio-keyboard-response","33","223286","0.0-1.0-0.8","null",""
"null","700_ms.wav","","audio-keyboard-response","34","229700","0.0-1.0-1.8","null",""
"","silence.wav","","audio-keyboard-taps","35","242282","0.0-1.0-2.8","null","1600,2120,2648,3080,3552,4048,4544,5008,5464,5936,6424,6904,7368,7832,8304,8784,9224,9680,10168,10608,11080"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","36","243583","0.0-1.0-3.8","null",""
"null","600_ms.wav","","audio-keyboard-response","37","248294","0.0-1.0-0.9","null",""
"null","500_ms.wav","","audio-keyboard-response","38","253307","0.0-1.0-1.9","null",""
